title,description,rating,positive_ratio,user_reviews,price_final,tags,title-1,Indie,Singleplayer,Action,Adventure,Casual,2D,Simulation,Strategy,Atmospheric,RPG,Puzzle,Story Rich,Multiplayer,3D,Pixel Graphics,Exploration,Colorful,Cute,First-Person,Early Access,Fantasy,Funny,Free to Play,Horror,Anime,Arcade,Shooter,Retro,Female Protagonist,Family Friendly
Osmos,"Enter the ambient world of Osmos: elegant, physics-based gameplay, dreamlike visuals, and a minimalist, electronic soundtrack. Your objective is to grow by absorbing other motes. Propel yourself by ejecting matter behind you. But be wise: ejecting matter also shrinks you. Relax - good things come to those who wait.",Very Positive,88,532,9.99,"['Indie', 'Casual', 'Puzzle', 'Relaxing', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Ambient', 'Atmospheric', '2D', 'Difficult', 'Minimalist', 'Space', 'Procedural Generation', 'Arcade', 'Strategy', 'Sci-fi', 'Science', 'Simulation', 'Education']",23219,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Comanche 4,"The best-selling Comanche series returns with this fast-paced action game that places you at the controls of a Comanche RAH-66 helicopter. In 6 single player campaigns and multiplayer, the game combines serious firepower with effortless controls and stunning, interactive terrain.",Very Positive,90,222,9.99,"['Action', 'Simulation', 'Flight', 'Classic']",6630,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inquisitor,"Action-oriented combat with a deep and involving tale of betrayal, torture, madness, and infernal damnation. If a gritty old-school open-ended isometric RPG is what you looking for, look no further. Inquisitor will provide you with hours of gameplay and a dark, involving story.",Mostly Positive,70,390,9.99,"['RPG', 'Indie', 'Isometric', 'Dark Fantasy', 'Singleplayer', 'Fantasy', 'Story Rich', 'Medieval', 'CRPG', 'Action RPG', 'Difficult', 'Gore', 'Violent']",16465,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FORM,Enter a surreal adventure where puzzles are built from dreams and memories. Solve the mystery behind an ancient artifact. Advance through a world that transforms around you. Transcend this existence.,Very Positive,91,934,14.99,"['Adventure', 'Indie', 'Casual', 'VR', 'Puzzle', 'First-Person', 'Singleplayer', 'Sci-fi', 'Atmospheric', 'Mystery', 'Great Soundtrack', 'Family Friendly']",11431,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Homesick,"Explore an abandoned building, encountering puzzles and clues to discover what happened, as you try to escape in both your nightmares and the waking world. Be immersed in the hauntingly beautiful 3D atmosphere in this puzzle exploration mystery game.",Mostly Positive,77,1139,14.99,"['Atmospheric', 'Puzzle', 'Exploration', 'First-Person', 'Indie', 'Adventure', 'Horror', 'Mystery', 'Walking Simulator', 'Great Soundtrack', 'Singleplayer', 'Short', 'Psychological Horror', 'Story Rich']",15446,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bridge Constructor,Become an appraised bridge engineer and architect in Bridge Constructor. Create and design your own constructions and watch the cars and trucks pass over them - or see them fall and crash while your inferior creations collapse due to weight and the laws of physics!,Mostly Positive,77,716,2.39,"['Simulation', 'Casual', 'Indie', 'Physics', 'Puzzle', 'Building', 'Singleplayer']",4736,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angvik,Angvik is a platform action game set in a joyful but unforgiving land.,Very Positive,88,1986,2.99,"['Indie', 'Platformer', 'Action', 'Difficult', '2D', 'Singleplayer', 'Adventure', 'Action Roguelike', 'Roguelike', 'Perma Death', 'Side Scroller', 'Short']",1948,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasm,"Explore the depths below a remote mountain town in this procedurally-generated Adventure Platformer. Taking inspiration from hack 'n slash dungeon crawlers and Metroidvania-style platformers, Chasm will immerse you in a fantasy world full of exciting treasure, deadly enemies, and abundant secrets.",Mostly Positive,73,1065,19.99,"['Metroidvania', 'Indie', 'Pixel Graphics', 'Adventure', 'Action', 'RPG', 'Platformer', '2D', 'Procedural Generation', 'Side Scroller', 'Singleplayer', 'Retro', 'Fantasy', 'Action RPG', 'Roguelike']",5867,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Dandelion - Wishes brought to you -,"Dandelion -Wishes brought to you- is a female-oriented game developed by Cheritz. The game was released in South Korea in August, 2012. The English translation for Dandelion was released on Nov, 2012. Dandelion is known as a unique dating simulation with a sensational storyline and charming characters.",Very Positive,85,589,29.99,"['Otome', 'Dating Sim', 'Visual Novel', 'Female Protagonist', 'Simulation', 'Anime', 'Romance', 'Story Rich', 'Singleplayer', 'Choices Matter']",7905,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eradicator,Explode into action!,Very Positive,88,60,6.99,"['Action', 'FPS', 'First-Person', 'Classic', 'Retro', ""1990's"", 'Shooter']",10864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Herald: An Interactive Period Drama - Book I & II,Herald is a choice-driven adventure set on colonial tides. Board the HLV Herald and uncover its dark secrets in an intriguing tale about tyranny and servitude.,Very Positive,89,97,9.99,"['Adventure', 'Indie', 'Point & Click', 'Alternate History', 'Story Rich', 'Visual Novel', 'Singleplayer', 'Drama', 'Choices Matter', 'Hidden Object', 'LGBTQ+']",14987,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take Command - 2nd Manassas,"Your quest for the true immersive Civil War battle experience ends here. Voted in PC Gamers list of Best 100 Games of All Time, Take Command is an RTCS ""Real-Time Combat Simulator"" and you've never played anything like it!",Very Positive,93,62,9.99,"['Strategy', 'Simulation', 'Indie', 'War', 'Historical']",31913,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUILTY GEAR 2 -OVERTURE-,"The ultimate melee action [GUILTY GEAR 2 -OVERTURE-] is now on Steam!! Pushing [Gameplay] and [Entertainment] to the extremes, with a splash of [Competitiveness] -- That's GUILTY GEAR 2 for you.",Mostly Positive,71,214,19.99,"['Action', 'Fighting', 'Anime', 'RTS', 'Story Rich', 'Great Soundtrack', 'Difficult', 'Singleplayer', 'Action RTS', 'Local Multiplayer', 'Controller', 'MOBA', 'Hack and Slash', 'Strategy']",13041,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aselia the Eternal -The Spirit of Eternity Sword-,"With his sister Kaori held hostage, Yuuto must fight as an Etranger, a warrior of power, and take up the sword to fight alongside the beautiful female Spirits who protect the land from an evil that threatens to consume it.",Very Positive,82,63,14.99,"['RPG', 'Visual Novel', 'Casual', 'Anime', 'JRPG', 'Difficult', 'Strategy']",2476,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luckitown,Luckitown is a turn-based tower defense where you roll dice to build new structures and cast spells to defend your town.,Very Positive,86,163,4.99,"['Simulation', 'Tower Defense', 'Strategy', 'Turn-Based Strategy', 'Resource Management', 'City Builder', '2D', 'Minimalist', 'Cartoon', 'Indie', 'Fantasy', 'Turn-Based Tactics', 'Choices Matter', 'Singleplayer']",19157,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Retro/Grade,Play a classic Shoot 'Em Up... in reverse!,Very Positive,85,207,9.99,"['Indie', 'Action', 'Rhythm', 'Music', ""Shoot 'Em Up"", 'Sci-fi', 'Retro', 'Arcade', 'Great Soundtrack']",26551,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Dreamfall Chapters,"The Final Cut is the ultimate collector's edition of Dreamfall Chapters, a story-driven 3D adventure about choice and consequence, set in parallel worlds: a cyberpunk vision of the future and a magical fantasy realm.",Very Positive,82,2976,24.99,"['Adventure', 'Story Rich', 'Atmospheric', 'Fantasy', 'Female Protagonist', 'Cyberpunk', 'Choices Matter', 'Singleplayer', 'Third Person', 'Point & Click', 'Great Soundtrack', 'Episodic', 'Futuristic', 'Sci-fi', 'Kickstarter', 'Choose Your Own Adventure', 'Exploration', 'Indie', 'Walking Simulator', 'Action']",9757,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Meltdown,"Meltdown is a tactical arcade shooter featuring both singleplayer and intense online multiplayer. Become the most skilled soldier, choose your weapons, get the best upgrades, buckle up and start your mission. Be careful, each enemy has it’s own combat style, special AI and gear. Adapt to them to survive!",Very Positive,86,493,6.99,"['Action', 'Indie', 'Arcade', 'Multiplayer', 'Shooter', 'Local Co-Op', 'Twin Stick Shooter', 'Isometric', '4 Player Local', 'Top-Down Shooter', 'Top-Down', 'Great Soundtrack', 'Online Co-Op', 'Co-op']",20194,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
NOT A HERO,Professional assassin turned amateur campaign manager Steve is charged with cleaning up the city by an anthropomorphic rabbit and mayoral candidate from the future named BunnyLord.,Very Positive,86,1563,19.99,"['Pixel Graphics', 'Action', 'Indie', 'Comedy', 'Adventure', 'Shooter', '2D', 'Funny', 'Political', 'Gore', 'Great Soundtrack', 'Singleplayer', 'Difficult', 'Platformer', 'Fast-Paced', ""Shoot 'Em Up"", 'Violent', 'Retro', 'Multiplayer']",21739,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Disciples Sacred Lands Gold,"Disciples GOLD takes the phenomenal gameplay, stunning graphics, over 100 spells and a powerful scenario editor of Disciples and adds new scenarios and gameplay features that set the new standard in Turn-Based Strategy.",Very Positive,85,270,7.99,"['Strategy', 'Turn-Based', 'Fantasy', 'Classic', 'Turn-Based Strategy', 'Dark Fantasy']",9135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dreaming Sarah,"Dreaming Sarah is an adventure platformer where you play as Sarah, a girl who is in a coma. Explore the world around her and help her wake up!",Very Positive,92,2010,5.99,"['Metroidvania', 'Puzzle Platformer', 'Casual', 'Exploration', 'Platformer', 'Walking Simulator', 'Female Protagonist', '2D', 'Surreal', 'Relaxing', 'Puzzle', 'Pixel Graphics', 'Abstract', 'Philosophical', 'Psychedelic', 'Atmospheric', 'Psychological', 'Adventure', 'Supernatural', 'Singleplayer']",9760,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pix the Cat,"Pix the Cat is a critically acclaimed intense arcade game that will challenge your reflexes and your wits, pitting you against your friends and the world in a race to the highest score!",Very Positive,87,170,4.99,"['Cats', 'Indie', 'Action', 'Arcade', 'Local Multiplayer', 'Cartoony', '4 Player Local', 'Retro', 'Score Attack', 'Cute', 'Singleplayer', 'Casual', 'Fast-Paced', 'Cartoon']",24297,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Crazy Machines 3,"Crazy Machines 3 is the latest, greatest, most amazing and craziest part of the series and fascinates once more with physic-based puzzles. Build your own crazy machines and share your awesomeness across the world thanks to the Steam® Workshop.",Very Positive,94,6817,9.99,"['Simulation', 'Strategy', 'Puzzle', 'Physics', 'Sandbox', 'Singleplayer', 'Multiplayer', 'Building', 'Casual']",7120,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanji Training Game,"Kanji Training Game is a game that helps you learn the Japanese writing system in the form of a game. Memorize 1006 symbols of Kanji, Katakana and Hiragana, and level up as you advance through the increasingly complex alphabet and words of the Japanese language.",Mostly Positive,75,72,4.99,"['Casual', 'Education']",17267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FlatOut 4: Total Insanity,"FlatOut 4: Total Insanity™, where reckless driving has never been this much fun. FlatOut 4: Total Insanity™ blends everything everyone has ever loved about FlatOut into one offering. Gamers will also be introduced to all new and exciting features, game modes, and vehicles which will soon become personal favorites.",Mixed,52,1489,29.99,"['Racing', 'Automobile Sim', 'Multiplayer', 'Destruction', 'Action', 'Arcade', 'Driving', 'Singleplayer', 'Physics', 'Open World']",12219,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Osiris: New Dawn,"Osiris: New Dawn is an unforgiving near future space survival game with a cinematic feel and elements of horror. Play as a Mission Specialist in single or multiplayer to build your planetary base, pilotable vehicles, and controllable drones as you explore a dangerous solar system far from Earth.",Mixed,57,12322,19.99,"['Open World Survival Craft', 'Horror', 'Survival', 'Space', 'Open World', 'Multiplayer', 'Sci-fi', 'Building', 'Adventure', 'Crafting', 'Sandbox', 'Base Building', 'Early Access', 'Co-op', 'Action', 'Singleplayer', 'Aliens', 'RPG', 'Indie', 'FPS']",23216,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Master of Orion 1,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,Very Positive,90,279,0.89,"['Strategy', '4X', 'Turn-Based', 'Space', 'Classic', 'Sci-fi', 'Singleplayer', 'Turn-Based Strategy', '2D', ""1990's""]",19954,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motorsport Manager,"Have you got what it takes to become the manager of a high-performance motorsport team? Motorsport Manager is a highly detailed, best-in-class management game for fans of motorsport. You’ll hire the drivers, build the cars and embed yourself in the dynamic world of racing.",Very Positive,91,9753,19.99,"['Management', 'Racing', 'Simulation', 'Strategy', 'Sports', 'Automobile Sim', 'Singleplayer', 'Multiplayer', 'Difficult', 'Action', 'Great Soundtrack']",21111,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roads of Rome,"Advance into the unknown territories full of secrets and dangers. Expand the famous road system to the far corners of mighty Roman Empire in this blend of casual strategy, sim and time management genres!",Very Positive,85,61,3.99,"['Casual', 'Strategy', 'Adventure', 'Simulation', 'Time Management', 'Resource Management']",26864,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ground Control Anthology,"The year is 2419. War has devastated Earth, and mega-corporations take to the stars to fight over colonised planets. Your employer, the Crayven Corporation, chose you to command an army of ground and air forces. You thought it would be just another brush-fire war. You were wrong.",Very Positive,87,141,4.99,"['Strategy', 'RTS', 'Real Time Tactics', 'Sci-fi', 'Classic']",14164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magicians & Looters,"Guide three sociopathic apprentices through an open world filled with caves, castles and underground cities as you search for your kidnapped teacher. Discover countless secrets, loot hidden treasure troves, and decapitate your enemies. Or immolate them. Or smack them in the face with fruit.",Very Positive,86,74,6.99,"['Indie', 'Action', 'Adventure', 'Metroidvania', 'Platformer', '2D']",19621,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strata,Simple. Elegant. Challenging.,Very Positive,92,131,7.99,"['Casual', 'Strategy', 'Indie', 'Puzzle', 'Relaxing']",30797,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backstage Pass,"A visual novel/sim game about life, love, and working in the entertainment industry. Play as makeup artist Sian Goodin as she navigates the world of showbiz. Make friends, forge business relationships, and maybe even find romance!",Very Positive,90,209,29.99,"['Visual Novel', 'Otome', 'Anime', 'Female Protagonist', 'Simulation', 'Dating Sim', 'Indie', 'Romance', 'RPG', 'Singleplayer', 'LGBTQ+', '2D', 'Story Rich']",3142,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Metal Dead,"A hilariously terrifying adventure filled with laughs, blood, insanity, and of course... hordes of the undead.",Very Positive,83,378,4.99,"['Adventure', 'Indie', 'Gore', 'Zombies', 'Violent', 'Point & Click', 'Horror', 'Funny', 'Blood', 'Story Rich', 'Comedy', '2D', 'Singleplayer', 'Dark Humor', 'Retro', 'Puzzle', 'Hand-drawn', 'Casual', 'Great Soundtrack']",20309,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Choice of Robots,"Your robots will change the world! Will you show them the true meaning of love, or conquer Alaska with your robot army? A 300,000-word epic interactive sci-fi novel.",Overwhelmingly Positive,96,1834,6.99,"['Choose Your Own Adventure', 'Text-Based', 'Choices Matter', 'Interactive Fiction', 'Indie', 'Robots', 'RPG', 'Story Rich', 'Sci-fi', 'Singleplayer', 'LGBTQ+', 'Female Protagonist', 'Romance', 'Visual Novel']",6053,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RIOT: Civil Unrest,As civil crisis deepens and inequality tears the very fabric of society the discontentment of the masses manifests itself in violent public disturbances and civil disorder. Play as the police or the angry horde as RIOT – Civil Unrest places you in some of the world’s most fractious disputes.,Mixed,68,1280,5.09,"['Strategy', 'Simulation', 'Indie', 'Pixel Graphics', 'Political Sim', 'Political', 'Action', '2D', 'RTS', 'Historical', 'Multiplayer', 'Violent', 'Early Access', 'Singleplayer', 'Crime']",25698,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Road Scars: Origins,"In Road Scars: Origins you play as Adam, an aspiring motorcyclist, fighting to join the Road Slicers, the biggest motorcycle club on the town. Do you have what it takes to reach your goal?",Mostly Positive,71,194,0.99,"['Racing', 'Action', 'Adventure', 'Indie', 'Retro', 'Arcade', 'Fast-Paced', 'Story Rich', '2D', 'Pixel Graphics', 'Casual', 'Music', 'Singleplayer', 'Replay Value', 'Top-Down', 'Score Attack', 'Runner', 'Bikes', 'Motorbike', 'Emotional']",26854,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Super Mega Baseball 2,"The critically acclaimed Super Mega Baseball series is back with new visuals, deep team and league customization, and online multiplayer modes.",Very Positive,88,988,19.99,"['Sports', 'Baseball', 'Indie', 'Simulation', 'Multiplayer', 'Singleplayer', 'Local Multiplayer', 'Local Co-Op', 'Co-op', 'Online Co-Op', 'Controller']",31222,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganbare! Super Strikers,"Ganbare! Super Strikers is an innovative mix between Tactical RPG and Soccer. Win matches to level up and earn new equipment that will allow you to learn special abilities, boost your players' stats or protect yourself against altered status effects, such as Sleep, Silence or Poison.",Very Positive,84,57,9.99,"['Football (Soccer)', 'Sports', 'Strategy', 'RPG', 'Turn-Based', 'Anime', 'Indie', 'Casual', 'Turn-Based Tactics', '2D', 'Strategy RPG', 'Turn-Based Strategy', 'Tactical RPG', 'Colorful', 'Tactical', 'Character Customization', 'Controller', 'Grid-Based Movement', '4 Player Local', 'Multiplayer']",13212,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Magi Trials,"Do you have what it takes to join the Royal Academy of Magi in a new Highschool Romance story. After attempting a dark ritual which increases innate magical ability, but transforms your body.",Very Positive,82,91,12.99,"['Adventure', 'Indie', 'Casual', 'Visual Novel', 'Nudity', 'LGBTQ+', 'Mature', 'Singleplayer', 'Sexual Content', 'Anime']",19556,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
